<eps>	sil 
sót	s ɔː˦˥ k 
sô	s oː˨˥ 
sôi	s oː˨˥ j 
sông	s o˨˨ ŋm 
sõi	s ɔː˨ˀ˥ j 
sùi	s uː˨˨ j 
sùng	s u˦˨ ŋm 
sú	s uː˨˦ 
súc	s u˦˥ kp 
sún	s uː˨˦ n 
súng	s u˦˥ ŋm 
sút	s uː˦˥ t 
săm	s a˨˥ m 
săn	s a˨˥ ŋ 
sĩ	s iː˨ˀ˥ 
sũng	s u˨ˀ˥ ŋm 
sơ	s əː˨˥ 
sơn	s əː˨˥ ŋ 
sư	s ɨː˨˨ 
sưa	s ɨə˨˥ 
sưng	s ɨ˨˥ ŋ 
sưu	s ɨ˨˥ w 
sương	s ɨə˨˨ ŋ 
sướng	s ɨə˨˦ ŋ 
sướt	s ɨə˦˥ t 
sườn	s ɨə˨˨ n 
sưởi	s ɨə˨˩˨ j 
sượng	s ɨə˨˩ˀ ŋ 
sạc	s aː˨˩ k 
sạch	s a˨˩ c 
sạm	s aː˨˩ m 
sạn	s aː˨˩ ŋ 
sạp	s aː˨˩ p 
sạt	s aː˨˩ k 
sả	s aː˨˨ˀ 
sải	s aː˨˨ˀ j 
sản	s aː˨˨ˀ ŋ 
sảnh	s a˨˨ˀ n 
sảo	s aː˨˨ˀ w 
sảy	s a˨˨ˀ j 
sấm	s ə˦˥ m 
sấp	s ə˦˥ p 
sấu	s ə˦˥ w 
sấy	s ə˦˥ j 
sầm	s ə˦˨ m 
sầu	s ə˦˨ w 
sầy	s ə˦˨ j 
sẩm	s ə˨˨ˀ m 
sẩy	s ə˨˨ˀ j 
sẫm	s ə˨ˀ˥ m 
sậm	s ə˨˩ m 
sập	s ə˨˩ p 
sậy	s ə˨˩ j 
sắc	s a˦˥ k 
sắm	s a˦˥ m 
sắn	s a˦˥ ŋ 
sắp	s a˦˥ p 
sắt	s a˦˥ k 
sẳn	s a˨˨ˀ ŋ 
sẵn	s a˨ˀ˥ n 
sặc	s a˨˩ k 
sẹo	s ɛː˨˩ w 
sẻ	s ɛː˨˨ˀ 
sẽ	s ɛː˨ˀ˥ 
sến	s eː˨˦ n 
sếp	s eː˦˥ p 
sếu	s eː˦˥ w 
sệt	s eː˨˩ t 
sỉ	s iː˨˩˨ 
sỉa	s iə˨˨ˀ 
sọ	s ɔː˨˩ 
sọc	s ɔ˨˩ kp 
sọt	s ɔː˨˩ k 
sỏ	s ɔː˨˨ˀ 
sỏi	s ɔː˨˨ˀ j 
số	s oː˦˥ 
sốc	s o˦˥ kp 
sống	s o˨˦ ŋm 
sốt	s oː˦˥ t 
sồi	s oː˦˨ j 
sổ	s oː˨˨ˀ 
sổng	s o˨˩˨ ŋm 
sớm	s əː˦˥ m 
sớt	s əː˦˥ k 
sờ	s əː˦˨ 
sờn	s əː˦˨ ŋ 
sở	s əː˨˨ˀ 
sởi	s əː˨˨ˀ j 
sởn	s əː˨˨ˀ ŋ 
sợ	s əː˨˩ 
sợi	s əː˨˩ j 
sục	s u˨˩ kp 
sụn	s uː˨˩ˀ n 
sụp	s uː˨˩ p 
sụt	s uː˨˩ t 
sủa	s uə˨˨ˀ 
sủi	s uː˨˩˨ j 
sứ	s ɨː˨˦ 
sứa	s ɨə˦˥ 
sức	s ɨ˦˥ k 
sứt	s ɨ˦˥ k 
sừng	s ɨ˦˨ ŋ 
sử	s ɨː˨˩˨ 
sửa	s ɨə˨˨ˀ 
sửng	s ɨ˨˨ˀ ŋ 
sửu	s ɨ˨˨ˀ w 
sữa	s ɨə˨ˀ˥ 
sững	s ɨ˨ˀ˥ ŋ 
sự	s ɨː˨˩ˀ 
sực	s ɨ˨˩ k 
sỹ	s iː˨ˀ˥ 
ta	t aː˨˥ 
tai	t aː˨˥ j 
tam	t aː˨˥ m 
tan	t aː˨˥ ŋ 
tang	t aː˨˥ ŋ 
tanh	t a˨˥ n 
tao	t aː˨˥ w 
tau	t a˨˥ w 
tay	t a˨˥ j 
tem	t ɛː˨˥ m 
teo	t ɛː˨˥ w 
tha	tʰ aː˨˥ 
thai	tʰ aː˨˥ j 
tham	tʰ aː˨˥ m 
than	tʰ aː˨˥ ŋ 
thang	tʰ aː˨˥ ŋ 
thanh	tʰ a˨˥ n 
thao	tʰ aː˨˥ w 
thau	tʰ a˨˥ w 
thay	tʰ a˨˥ j 
the	tʰ ɛː˨˥ 
then	tʰ ɛː˨˥ ŋ 
theo	tʰ ɛː˨˥ w 
thi	tʰ iː˨˨ 
thinh	tʰ i˨˨ ɲ 
thiu	tʰ iː˨˨ w 
thiêm	tʰ iə˨˨ m 
thiên	tʰ iə˨˨ n 
thiêng	tʰ iə˨˨ ŋ 
thiêu	tʰ iə˨˨ w 
thiếc	tʰ iə˦˥ k 
thiến	tʰ iə˨˦ n 
thiếp	tʰ iə˦˥ p 
thiết	tʰ iə˦˥ t 
thiếu	tʰ iə˨˦ w 
thiền	tʰ iə˨˨ n 
thiểu	tʰ iə˨˩˨ w 
thiện	tʰ iə˨˩ˀ n 
thiệp	tʰ iə˨˩ p 
thiệt	tʰ iə˨˩ t 
thiệu	tʰ iə˨˩ˀ w 
tho	tʰ ɔː˨˥ 
thoa	tʰ w aː˨˥ 
thoai	tʰ w aː˨˥ j 
thoang	tʰ w aː˨˥ ŋ 
thoi	tʰ ɔː˨˥ j 
thon	tʰ ɔː˨˥ ŋ 
thong	tʰ ɔ˨˥ ŋm 
thoái	tʰ w aː˦˥ j 
thoáng	tʰ w aː˦˥ ŋ 
thoát	tʰ w aː˦˥ k 
thoại	tʰ w aː˨˩ j 
thoạt	tʰ w aː˨˩ k 
thoả	tʰ w aː˨˨ˀ 
thoải	tʰ w aː˨˨ˀ j 
thoảng	tʰ w aː˨˨ˀ ŋ 
thu	tʰ uː˨˨ 
thua	tʰ uə˨˥ 
thui	tʰ uː˨˨ j 
thun	tʰ uː˨˨ n 
thung	tʰ u˨˥ ŋm 
thuyên	tʰ w iə˨˨ n 
thuyết	tʰ w iə˦˥ t 
thuyền	tʰ w iə˨˨ n 
thuê	tʰ w eː˨˥ 
thuôn	tʰ uə˨˨ n 
thuý	tʰ w iː˨˦ 
thuần	tʰ w ə˦˨ ŋ 
thuẫn	tʰ w ə˨ˀ˥ n 
thuận	tʰ w ə˨˩ ŋ 
thuật	tʰ w ə˨˩ k 
thuế	tʰ w eː˦˥ 
thuốc	tʰ uə˦˥ k 
thuổng	tʰ uə˨˩˨ ŋ 
thuộc	tʰ uə˨˩ k 
thuột	tʰ uə˨˩ t 
thuở	tʰ uə˨˨ˀ 
thuỳ	tʰ w iː˨˨ 
thuỵ	tʰ w iː˨˩ˀ 
thuỷ	tʰ w iː˨˩˨ 
thyền	tʰ iə˨˨ n 
thà	tʰ aː˦˨ 
thành	tʰ a˦˨ n 
thào	tʰ aː˦˨ w 
thác	tʰ aː˦˥ k 
thách	tʰ a˦˥ c 
thái	tʰ aː˦˥ j 
thám	tʰ aː˦˥ m 
thán	tʰ aː˦˥ ŋ 
tháng	tʰ aː˦˥ ŋ 
thánh	tʰ a˦˥ n 
tháo	tʰ aː˦˥ w 
tháp	tʰ aː˦˥ p 
tháu	tʰ a˦˥ w 
tháy	tʰ a˦˥ j 
thâm	tʰ ə˨˥ m 
thân	tʰ ə˨˥ ŋ 
thâu	tʰ ə˨˥ w 
thây	tʰ ə˨˥ j 
thè	tʰ ɛː˦˨ 
thèm	tʰ ɛː˦˨ m 
thép	tʰ ɛː˦˥ p 
thét	tʰ ɛː˦˥ k 
thê	tʰ eː˨˥ 
thêm	tʰ eː˨˥ m 
thêu	tʰ eː˨˥ w 
thì	tʰ iː˨˨ 
thìa	tʰ iə˦˨ 
thìn	tʰ iː˨˨ n 
thình	tʰ i˨˨ ɲ 
thí	tʰ iː˨˦ 
thích	tʰ i˦˥ c 
thím	tʰ iː˨˦ m 
thính	tʰ i˨˦ ɲ 
thò	tʰ ɔː˦˨ 
thòi	tʰ ɔː˦˨ j 
thòng	tʰ ɔ˦˨ ŋm 
thóc	tʰ ɔ˦˥ kp 
thói	tʰ ɔː˦˥ j 
thóp	tʰ ɔː˦˥ p 
thót	tʰ ɔː˦˥ k 
thô	tʰ oː˨˥ 
thôi	tʰ oː˨˥ j 
thôn	tʰ oː˨˨ n 
thông	tʰ o˨˨ ŋm 
thù	tʰ uː˨˨ 
thùa	tʰ uə˦˨ 
thùng	tʰ u˦˨ ŋm 
thùy	tʰ uː˨˨ j 
thú	tʰ uː˨˦ 
thúc	tʰ u˦˥ kp 
thúi	tʰ uː˨˦ j 
thúng	tʰ u˦˥ ŋm 
thúy	tʰ uː˨˦ j 
thăm	tʰ a˨˥ m 
thăn	tʰ a˨˥ ŋ 
thăng	tʰ a˨˥ ŋ 
thơ	tʰ əː˨˥ 
thơi	tʰ əː˨˥ j 
thơm	tʰ əː˨˥ m 
thư	tʰ ɨː˨˨ 
thưa	tʰ ɨə˨˥ 
thương	tʰ ɨə˨˨ ŋ 
thước	tʰ ɨə˦˥ k 
thướt	tʰ ɨə˦˥ t 
thường	tʰ ɨə˨˨ ŋ 
thưởng	tʰ ɨə˨˩˨ ŋ 
thược	tʰ ɨə˨˩ k 
thượng	tʰ ɨə˨˩ˀ ŋ 
thạc	tʰ aː˨˩ k 
thạch	tʰ a˨˩ c 
thạo	tʰ aː˨˩ w 
thả	tʰ aː˨˨ˀ 
thải	tʰ aː˨˨ˀ j 
thảm	tʰ aː˨˨ˀ m 
thản	tʰ aː˨˨ˀ ŋ 
thảnh	tʰ a˨˨ˀ n 
thảo	tʰ aː˨˨ˀ w 
thảy	tʰ a˨˨ˀ j 
thấm	tʰ ə˦˥ m 
thấp	tʰ ə˦˥ p 
thất	tʰ ə˦˥ k 
thấu	tʰ ə˦˥ w 
thấy	tʰ ə˦˥ j 
thầm	tʰ ə˦˨ m 
thần	tʰ ə˦˨ ŋ 
thầu	tʰ ə˦˨ w 
thầy	tʰ ə˦˨ j 
thẩm	tʰ ə˨˨ˀ m 
thẩn	tʰ ə˨˨ˀ ŋ 
thẩy	tʰ ə˨˨ˀ j 
thậm	tʰ ə˨˩ m 
thận	tʰ ə˨˩ ŋ 
thập	tʰ ə˨˩ p 
thật	tʰ ə˨˩ k 
thắc	tʰ a˦˥ k 
thắm	tʰ a˦˥ m 
thắn	tʰ a˦˥ ŋ 
thắng	tʰ a˦˥ ŋ 
thắp	tʰ a˦˥ p 
thắt	tʰ a˦˥ k 
thằn	tʰ a˦˨ ŋ 
thằng	tʰ a˦˨ ŋ 
thẳm	tʰ a˨˨ˀ m 
thẳng	tʰ a˨˨ˀ ŋ 
thẹn	tʰ ɛː˨˩ ŋ 
thẹo	tʰ ɛː˨˩ w 
thẻ	tʰ ɛː˨˨ˀ 
thế	tʰ eː˦˥ 
thề	tʰ eː˦˨ 
thềm	tʰ eː˦˨ m 
thều	tʰ eː˦˨ w 
thể	tʰ eː˨˨ˀ 
thỉnh	tʰ i˨˩˨ ɲ 
thỉu	tʰ iː˨˩˨ w 
thị	tʰ iː˨˩ˀ 
thịch	tʰ i˨˩ c 
thịnh	tʰ i˨˩ˀ ɲ 
thịt	tʰ iː˨˩ t 
thọ	tʰ ɔː˨˩ 
thọc	tʰ ɔ˨˩ kp 
thọt	tʰ ɔː˨˩ k 
thỏ	tʰ ɔː˨˨ˀ 
thỏa	tʰ w aː˨˨ˀ 
thốc	tʰ o˦˥ kp 
thối	tʰ oː˦˥ j 
thốn	tʰ oː˨˦ n 
thống	tʰ o˨˦ ŋm 
thốt	tʰ oː˦˥ t 
thồ	tʰ oː˦˨ 
thồn	tʰ oː˨˨ n 
thổ	tʰ oː˨˨ˀ 
thổi	tʰ oː˨˨ˀ j 
thổn	tʰ oː˨˩˨ n 
thớt	tʰ əː˦˥ k 
thờ	tʰ əː˦˨ 
thời	tʰ əː˦˨ j 
thở	tʰ əː˨˨ˀ 
thợ	tʰ əː˨˩ 
thụ	tʰ uː˨˩ˀ 
thục	tʰ u˨˩ kp 
thụt	tʰ uː˨˩ t 
thụy	tʰ uː˨˩ˀ j 
thủ	tʰ uː˨˩˨ 
thủa	tʰ uə˨˨ˀ 
thủi	tʰ uː˨˩˨ j 
thủm	tʰ uː˨˩˨ m 
thủng	tʰ u˨˨ˀ ŋm 
thủy	tʰ uː˨˩˨ j 
thứ	tʰ ɨː˨˦ 
thức	tʰ ɨ˦˥ k 
thừ	tʰ ɨː˨˨ 
thừa	tʰ ɨə˦˨ 
thừng	tʰ ɨ˦˨ ŋ 
thử	tʰ ɨː˨˩˨ 
thửa	tʰ ɨə˨˨ˀ 
thự	tʰ ɨː˨˩ˀ 
thực	tʰ ɨ˨˩ k 
ti	t iː˨˨ 
tia	t iə˨˥ 
tim	t iː˨˨ m 
tin	t iː˨˨ n 
tinh	t i˨˨ ɲ 
tiêm	t iə˨˨ m 
tiên	t iə˨˨ n 
tiêu	t iə˨˨ w 
tiếc	t iə˦˥ k 
tiến	t iə˨˦ n 
tiếng	t iə˨˦ ŋ 
tiếp	t iə˦˥ p 
tiết	t iə˦˥ t 
tiếu	t iə˨˦ w 
tiềm	t iə˨˨ m 
tiền	t iə˨˨ n 
tiều	t iə˨˨ w 
tiển	t iə˨˩˨ n 
tiểng	t iə˨˩˨ ŋ 
tiểu	t iə˨˩˨ w 
tiễn	t iə˨ˀ˥ n 
tiệc	t iə˨˩ k 
tiệm	t iə˨˩ˀ m 
tiện	t iə˨˩ˀ n 
tiệp	t iə˨˩ p 
to	t ɔː˨˥ 
toa	t w aː˨˥ 
toan	t w aː˨˥ ŋ 
toang	t w aː˨˥ ŋ 
toe	t w ɛː˨˥ 
toi	t ɔː˨˥ j 
ton	t ɔː˨˥ ŋ 
tong	t ɔ˨˥ ŋm 
toà	t w aː˦˨ 
toàn	t w aː˦˨ ŋ 
toác	t w aː˦˥ k 
toái	t w aː˦˥ j 
toán	t w aː˦˥ ŋ 
toáng	t w aː˦˥ ŋ 
toát	t w aː˦˥ k 
toé	t w ɛː˦˥ 
toét	t w ɛː˦˥ k 
toạc	t w aː˨˩ k 
toả	t w aː˨˨ˀ 
tra	tɕ aː˨˨ 
trai	tɕ aː˨˨ j 
trang	tɕ aː˨˨ ŋ 
tranh	tɕ a˨˨ ɲ 
trao	tɕ aː˨˨ w 
trau	tɕ a˨˨ w 
tre	tɕ ɛː˨˨ 
treo	tɕ ɛː˨˨ w 
tri	tɕ iː˨˨ 
tring	tɕ i˨˨ ɲ 
trinh	tɕ i˨˨ ɲ 
triết	tɕ iə˦˥ t 
triền	tɕ iə˨˨ n 
triều	tɕ iə˨˨ w 
triển	tɕ iə˨˩˨ n 
triện	tɕ iə˨˩ˀ n 
triệt	tɕ iə˨˩ t 
triệu	tɕ iə˨˩ˀ w 
tro	tɕ ɔː˨˨ 
trong	tɕ ɔ˨˨ ŋm 
tru	tɕ uː˨˨ 
trung	tɕ u˨˨ ŋm 
truy	tɕ w iː˨˨ 
truyền	tɕ w iə˨˨ n 
truyện	tɕ w iə˨˩ˀ n 
truông	tɕ uə˨˨ ŋ 
truất	tɕ w ə˦˥ t 
truồng	tɕ uə˨˨ ŋ 
truờng	tɕ uə˨˨ ŋ 
trà	tɕ aː˨˨ 
tràm	tɕ aː˨˨ m 
tràn	tɕ aː˨˨ n 
tràng	tɕ aː˨˨ ŋ 
trành	tɕ a˨˨ ɲ 
trào	tɕ aː˨˨ w 
trá	tɕ aː˨˦ 
trác	tɕ aː˦˥ k 
trách	tɕ a˦˥ c 
trái	tɕ aː˨˦ j 
trám	tɕ aː˨˦ m 
trán	tɕ aː˨˦ n 
tráng	tɕ aː˨˦ ŋ 
tránh	tɕ a˨˦ ɲ 
tráo	tɕ aː˨˦ w 
tráp	tɕ aː˦˥ p 
trát	tɕ aː˦˥ t 
trâm	tɕ ə˨˨ m 
trân	tɕ ə˨˨ n 
trâu	tɕ ə˨˨ w 
trã	tɕ aː˨ˀ˥ 
trèo	tɕ ɛː˨˨ w 
trét	tɕ ɛː˦˥ t 
trên	tɕ eː˨˨ n 
trêu	tɕ eː˨˨ w 
trì	tɕ iː˨˨ 
trình	tɕ i˨˨ ɲ 
trí	tɕ iː˨˦ 
trích	tɕ i˦˥ c 
trính	tɕ i˨˦ ɲ 
trò	tɕ ɔː˨˨ 
tròn	tɕ ɔː˨˨ n 
tròng	tɕ ɔ˨˨ ŋm 
tróc	tɕ ɔ˦˥ kp 
trói	tɕ ɔː˨˦ j 
trót	tɕ ɔː˦˥ t 
trôi	tɕ oː˨˨ j 
trông	tɕ o˨˨ ŋm 
trù	tɕ uː˨˨ 
trùm	tɕ uː˨˨ m 
trùn	tɕ uː˨˨ n 
trùng	tɕ u˨˨ ŋm 
trú	tɕ uː˨˦ 
trúc	tɕ u˦˥ kp 
trúng	tɕ u˨˦ ŋm 
trút	tɕ uː˦˥ t 
trăm	tɕ a˨˨ m 
trăn	tɕ a˨˨ n 
trăng	tɕ a˨˨ ŋ 
trĩ	tɕ iː˨ˀ˥ 
trĩu	tɕ iː˨ˀ˥ w 
trũng	tɕ u˨ˀ˥ ŋm 
trơ	tɕ əː˨˨ 
trơn	tɕ əː˨˨ n 
trư	tɕ ɨː˨˨ 
trưa	tɕ ɨə˨˨ 
trưng	tɕ ɨ˨˨ ŋ 
trương	tɕ ɨə˨˨ ŋ 
trước	tɕ ɨə˦˥ k 
trườn	tɕ ɨə˨˨ n 
trường	tɕ ɨə˨˨ ŋ 
trưởng	tɕ ɨə˨˩˨ ŋ 
trượng	tɕ ɨə˨˩ˀ ŋ 
trượt	tɕ ɨə˨˩ t 
trạc	tɕ aː˨˩ k 
trại	tɕ aː˨˩ˀ j 
trạm	tɕ aː˨˩ˀ m 
trạng	tɕ aː˨˩ˀ ŋ 
trả	tɕ aː˨˩˨ 
trải	tɕ aː˨˩˨ j 
trảm	tɕ aː˨˩˨ m 
trảng	tɕ aː˨˩˨ ŋ 
trấn	tɕ ə˨˦ n 
trấu	tɕ ə˨˦ w 
trầm	tɕ ə˨˨ m 
trần	tɕ ə˨˨ n 
trầu	tɕ ə˨˨ w 
trầy	tɕ ə˨˨ j 
trẩu	tɕ ə˨˩˨ w 
trẫm	tɕ ə˨ˀ˥ m 
trận	tɕ ə˨˩ˀ n 
trật	tɕ ə˨˩ t 
trắc	tɕ a˦˥ k 
trắm	tɕ a˨˦ m 
trắng	tɕ a˨˦ ŋ 
trặc	tɕ a˨˩ k 
trẹo	tɕ ɛː˨˩ˀ w 
trẻ	tɕ ɛː˨˩˨ 
trề	tɕ eː˨˨ 
trển	tɕ eː˨˩˨ n 
trễ	tɕ eː˨ˀ˥ 
trệ	tɕ eː˨˩ˀ 
trệt	tɕ eː˨˩ t 
trị	tɕ iː˨˩ˀ 
trịch	tɕ i˨˩ c 
trịnh	tɕ i˨˩ˀ ɲ 
trọ	tɕ ɔː˨˩ˀ 
trọc	tɕ ɔ˨˩ kp 
trọi	tɕ ɔː˨˩ˀ j 
trọn	tɕ ɔː˨˩ˀ n 
trọng	tɕ ɔ˨˩ˀ ŋm 
trỏ	tɕ ɔː˨˩˨ 
trỏng	tɕ ɔ˨˩˨ ŋm 
trốc	tɕ o˦˥ kp 
trối	tɕ oː˨˦ j 
trốn	tɕ oː˨˦ n 
trống	tɕ o˨˦ ŋm 
trồ	tɕ oː˨˨ 
trồi	tɕ oː˨˨ j 
trồng	tɕ o˨˨ ŋm 
trổ	tɕ oː˨˩˨ 
trội	tɕ oː˨˩ˀ j 
trộm	tɕ oː˨˩ˀ m 
trộn	tɕ oː˨˩ˀ n 
trớn	tɕ əː˨˦ n 
trời	tɕ əː˨˨ j 
trở	tɕ əː˨˩˨ 
trợ	tɕ əː˨˩ˀ 
trợn	tɕ əː˨˩ˀ n 
trợt	tɕ əː˨˩ t 
trụ	tɕ uː˨˩ˀ 
trục	tɕ u˨˩ kp 
trụi	tɕ uː˨˩ˀ j 
trụng	tɕ u˨˩ˀ ŋm 
trủ	tɕ uː˨˩˨ 
trứng	tɕ ɨ˨˦ ŋ 
trừ	tɕ ɨː˨˨ 
trừng	tɕ ɨ˨˨ ŋ 
trữ	tɕ ɨː˨ˀ˥ 
trực	tɕ ɨ˨˩ k 
tu	t uː˨˨ 
tua	t uə˨˥ 
tui	t uː˨˨ j 
tum	t uː˨˨ m 
tung	t u˨˥ ŋm 
tuy	t w iː˨˨ 
tuyên	t w iə˨˨ n 
tuyến	t w iə˨˦ n 
tuyết	t w iə˦˥ t 
tuyền	t w iə˨˨ n 
tuyển	t w iə˨˩˨ n 
tuyệt	t w iə˨˩ t 
tuân	t w ə˨˥ ŋ 
tuôn	t uə˨˨ n 
tuý	t w iː˨˦ 
tuýp	t w iː˦˥ p 
tuýt	t w iː˦˥ t 
tuấn	t w ə˦˥ ŋ 
tuất	t w ə˦˥ k 
tuần	t w ə˦˨ ŋ 
tuế	t w eː˦˥ 
tuệ	t w eː˨˩ 
tuốt	t uə˦˥ t 
tuồng	t uə˨˨ ŋ 
tuổi	t uə˨˩˨ j 
tuột	t uə˨˩ t 
tuỳ	t w iː˨˨ 
tuỵ	t w iː˨˩ˀ 
tuỷ	t w iː˨˩˨ 
ty	t iː˨˨ 
tà	t aː˦˨ 
tài	t aː˦˨ j 
tàn	t aː˦˨ ŋ 
tàng	t aː˦˨ ŋ 
tàu	t a˦˨ w 
tày	t a˦˨ j 
tá	t aː˦˥ 
tác	t aː˦˥ k 
tách	t a˦˥ c 
tái	t aː˦˥ j 
tám	t aː˦˥ m 
tán	t aː˦˥ ŋ 
táng	t aː˦˥ ŋ 
tánh	t a˦˥ n 
táo	t aː˦˥ w 
táp	t aː˦˥ p 
tát	t aː˦˥ k 
tâm	t ə˨˥ m 
tân	t ə˨˥ ŋ 
tâng	t ə˨˥ ŋ 
tâu	t ə˨˥ w 
tây	t ə˨˥ j 
tã	t aː˨ˀ˥ 
tãi	t aː˨ˀ˥ j 
tè	t ɛː˦˨ 
té	t ɛː˦˥ 
tém	t ɛː˦˥ m 
tép	t ɛː˦˥ p 
tét	t ɛː˦˥ k 
tê	t eː˨˥ 
têm	t eː˨˥ m 
tên	t eː˨˨ n 
tênh	t e˨˨ ɲ 
tì	t iː˨˨ 
tìm	t iː˨˨ m 
tình	t i˨˨ ɲ 
tí	t iː˨˦ 
tía	t iə˦˥ 
tích	t i˦˥ c 
tím	t iː˨˦ m 
tín	t iː˨˦ n 
tính	t i˨˦ ɲ 
típ	t iː˦˥ p 
tít	t iː˦˥ t 
tíu	t iː˨˦ w 
tò	t ɔː˦˨ 
tòa	t w aː˦˨ 
tòi	t ɔː˦˨ j 
tóc	t ɔ˦˥ kp 
tóm	t ɔː˦˥ m 
tóp	t ɔː˦˥ p 
tót	t ɔː˦˥ k 
tô	t oː˨˥ 
tôi	t oː˨˥ j 
tôm	t oː˨˥ m 
tôn	t oː˨˨ n 
tông	t o˨˨ ŋm 
tõm	t ɔː˨ˀ˥ m 
tù	t uː˨˨ 
tùng	t u˦˨ ŋm 
tùy	t uː˨˨ j 
tú	t uː˨˦ 
túa	t uə˦˥ 
túc	t u˦˥ kp 
túi	t uː˨˦ j 
túm	t uː˨˦ m 
túng	t u˦˥ ŋm 
tút	t uː˦˥ t 
túy	t uː˨˦ j 
tý	t iː˨˦ 
tăm	t a˨˥ m 
tăn	t a˨˥ ŋ 
tăng	t a˨˥ ŋ 
tĩnh	t i˨ˀ˥ ɲ 
tơ	t əː˨˥ 
tơi	t əː˨˥ j 
tư	t ɨː˨˨ 
tưng	t ɨ˨˥ ŋ 
tươi	t ɨə˨˨ j 
tươm	t ɨə˨˨ m 
tương	t ɨə˨˨ ŋ 
tước	t ɨə˦˥ k 
tưới	t ɨə˨˦ j 
tướng	t ɨə˨˦ ŋ 
tường	t ɨə˨˨ ŋ 
tườu	t ɨə˨˨ w 
tưởng	t ɨə˨˩˨ ŋ 
tượng	t ɨə˨˩ˀ ŋ 
tạ	t aː˨˩ 
tạc	t aː˨˩ k 
tại	t aː˨˩ j 
tạm	t aː˨˩ m 
tạng	t aː˨˩ ŋ 
tạnh	t a˨˩ n 
tạo	t aː˨˩ w 
tạp	t aː˨˩ p 
tạt	t aː˨˩ k 
tả	t aː˨˨ˀ 
tải	t aː˨˨ˀ j 
tản	t aː˨˨ˀ ŋ 
tảng	t aː˨˨ˀ ŋ 
tảo	t aː˨˨ˀ w 
tấc	t ə˦˥ k 
tấm	t ə˦˥ m 
tấn	t ə˦˥ ŋ 
tấp	t ə˦˥ p 
tất	t ə˦˥ k 
tấu	t ə˦˥ w 
tầm	t ə˦˨ m 
tần	t ə˦˨ ŋ 
tầng	t ə˦˨ ŋ 
tẩm	t ə˨˨ˀ m 
tẩn	t ə˨˨ˀ ŋ 
tẩu	t ə˨˨ˀ w 
tẩy	t ə˨˨ˀ j 
tận	t ə˨˩ ŋ 
tập	t ə˨˩ p 
tật	t ə˨˩ k 
tậu	t ə˨˩ w 
tắc	t a˦˥ k 
tắm	t a˦˥ m 
tắn	t a˦˥ ŋ 
tắp	t a˦˥ p 
tắt	t a˦˥ k 
tằm	t a˦˨ m 
tặc	t a˨˩ k 
tặng	t a˨˩ ŋ 
tẹo	t ɛː˨˩ w 
tẹt	t ɛː˨˩ k 
tẻ	t ɛː˨˨ˀ 
tế	t eː˦˥ 
tếch	t e˦˥ c 
tết	t eː˦˥ t 
tể	t eː˨˨ˀ 
tệ	t eː˨˩ 
tệp	t eː˨˩ p 
tỉ	t iː˨˩˨ 
tỉa	t iə˨˨ˀ 
tỉnh	t i˨˩˨ ɲ 
tị	t iː˨˩ˀ 
tịch	t i˨˩ c 
tịnh	t i˨˩ˀ ɲ 
tịt	t iː˨˩ t 
tọp	t ɔː˨˩ p 
tọt	t ɔː˨˩ k 
tỏ	t ɔː˨˨ˀ 
tỏa	t w aː˨˨ˀ 
tỏi	t ɔː˨˨ˀ j 
tỏm	t ɔː˨˨ˀ m 
tố	t oː˦˥ 
tốc	t o˦˥ kp 
tối	t oː˦˥ j 
tốn	t oː˨˦ n 
tống	t o˨˦ ŋm 
tốp	t oː˦˥ p 
tốt	t oː˦˥ t 
tồi	t oː˦˨ j 
tồn	t oː˨˨ n 
tổ	t oː˨˨ˀ 
tổn	t oː˨˩˨ n 
tổng	t o˨˩˨ ŋm 
tộ	t oː˨˩ 
tộc	t o˨˩ kp 
tội	t oː˨˩ j 
tột	t oː˨˩ t 
tớ	t əː˦˥ 
tới	t əː˦˥ j 
tờ	t əː˦˨ 
tởm	t əː˨˨ˀ m 
tởn	t əː˨˨ˀ ŋ 
tợ	t əː˨˩ 
tợn	t əː˨˩ ŋ 
tợp	t əː˨˩ p 
tụ	t uː˨˩ˀ 
tục	t u˨˩ kp 
tụi	t uː˨˩ˀ j 
tụm	t uː˨˩ˀ m 
tụng	t u˨˩ ŋm 
tụt	t uː˨˩ t 
tủ	t uː˨˩˨ 
tủi	t uː˨˩˨ j 
tứ	t ɨː˨˦ 
tức	t ɨ˦˥ k 
từ	t ɨː˨˨ 
từng	t ɨ˦˨ ŋ 
tử	t ɨː˨˩˨ 
tửu	t ɨ˨˨ˀ w 
tự	t ɨː˨˩ˀ 
tựa	t ɨə˨˩ 
tựu	t ɨ˨˩ w 
tỷ	t iː˨˩˨ 
u	ʔ uː˨˨ 
ung	ʔ u˨˥ ŋm 
uy	w iː˨˨ 
uyên	w iə˨˨ n 
uyển	w iə˨˩˨ n 
uên	w eː˨˨ n 
uôn	ʔ uə˨˨ n 
uý	w iː˨˦ 
uất	w ə˦˥ k 
uốn	ʔ uə˨˦ n 
uống	ʔ uə˨˦ ŋ 
uổng	ʔ uə˨˩˨ ŋ 
va	v aː˨˥ 
vai	v aː˨˥ j 
van	v aː˨˥ ŋ 
vang	v aː˨˥ ŋ 
vay	v a˨˥ j 
ve	v ɛː˨˥ 
